id,name,listing_url,picture_url,price,neighbourhood_cleansed,room_type,accommodates,bedrooms,bathrooms,mean_compound,n_reviews
884711279215475877,Full furnished luxury unit with San Diego bay view,https://www.airbnb.com/rooms/884711279215475877,https://a0.muscache.com/pictures/miso/Hosting-884711279215475877/original/d1b98ced-89bb-4198-89eb-30fde62b563b.jpeg,686.0,East Village,Entire home/apt,4,2.0,2.0,0.7611714285714285,7.0
884743000959017728,Casita on 34th St.,https://www.airbnb.com/rooms/884743000959017728,https://a0.muscache.com/pictures/miso/Hosting-884743000959017728/original/f4591b06-901a-43da-8d52-6e100a6ce86c.jpeg,93.0,Normal Heights,Entire home/apt,2,1.0,1.0,0.7987729508196721,122.0
884999286860444016,Spacious family home-pool-heated jacuzzi-Sleeps 11,https://www.airbnb.com/rooms/884999286860444016,https://a0.muscache.com/pictures/miso/Hosting-884999286860444016/original/ec2da420-e3f4-4863-87a9-5220352a4454.jpeg,445.0,Otay Ranch,Entire home/apt,11,3.0,3.0,0.9932,1.0
885096988365709199,"Spacious Apartment in Gaslamp, Sleeps 5 w/ Parking",https://www.airbnb.com/rooms/885096988365709199,https://a0.muscache.com/pictures/miso/Hosting-885096988365709199/original/b3e77fef-3e2c-4524-b087-4d809e2d8b15.jpeg,204.0,East Village,Entire home/apt,5,1.0,1.0,0.7976759493670885,79.0
885323424412848082,Resort style city living 1Bd+office/den+parking,https://www.airbnb.com/rooms/885323424412848082,https://a0.muscache.com/pictures/miso/Hosting-885323424412848082/original/f4df5499-0daa-4ee6-ac63-4116504a5c8a.jpeg,274.0,East Village,Entire home/apt,2,1.0,1.0,0.5410375,8.0
885588394276898086,"Family Beach Cottage, Steps2Sand, Parking x2, Deck",https://www.airbnb.com/rooms/885588394276898086,https://a0.muscache.com/pictures/miso/Hosting-867702809639627253/original/815ba300-37ef-400d-9a27-c3beab292ffc.jpeg,383.0,Mission Bay,Entire home/apt,6,2.0,2.0,0.9068402985074626,67.0
886305281590196043,"PB Surfer's Pad, Near the Beach + Wifi & Parking!",https://www.airbnb.com/rooms/886305281590196043,https://a0.muscache.com/pictures/25941281-6e32-4f1e-a54b-3ad05c68f949.jpg,118.0,Pacific Beach,Entire home/apt,4,1.0,1.0,0.67155,18.0
886513074171118513,Room of the Rising Sun II,https://www.airbnb.com/rooms/886513074171118513,https://a0.muscache.com/pictures/miso/Hosting-886513074171118513/original/f1a86872-4f6f-44e5-819b-531d9cd2b9e0.jpeg,74.0,Bird Land,Private room,2,1.0,1.5,0.7484482587064676,201.0
886886035948077875,"Gaslamp Glam-Walk to Bars, Petco & More!",https://www.airbnb.com/rooms/886886035948077875,https://a0.muscache.com/pictures/miso/Hosting-886886035948077875/original/ebd2cd6f-d3c6-49c6-ac3e-24694f2c0e9d.jpeg,250.0,Marina,Entire home/apt,4,1.0,1.0,,
887030592324662236,Sunset Cliffs Dream House | W/D | Steps to Ocean!,https://www.airbnb.com/rooms/887030592324662236,https://a0.muscache.com/pictures/prohost-api/Hosting-887030592324662236/original/767366d0-28b6-470f-a347-02c3f1d09691.jpeg,169.0,Ocean Beach,Entire home/apt,2,1.0,1.0,0.9337444444444445,9.0
887148299819459014,South Beach 4 | Oceanfront 2BR in Mission Beach,https://www.airbnb.com/rooms/887148299819459014,https://a0.muscache.com/pictures/prohost-api/Hosting-887148299819459014/original/005949d7-ae9d-47ab-9cc2-70b6d6a51050.jpeg,850.0,Mission Bay,Entire home/apt,4,2.0,2.5,0.8507411764705882,17.0
887292540587337770,ucsd/clairemont 卧室出租,https://www.airbnb.com/rooms/887292540587337770,https://a0.muscache.com/pictures/miso/Hosting-776016772048733928/original/69d73e8b-6e4e-4170-b73b-80749e52f65e.jpeg,42.0,North Clairemont,Private room,1,1.0,1.0,0.296,1.0
887550659601361017,New! Stunning Retreat Steps from Sunset Cliffs,https://www.airbnb.com/rooms/887550659601361017,https://a0.muscache.com/pictures/miso/Hosting-887550659601361017/original/cbb3a2f2-748d-4d4e-a64a-885084ea9dba.jpeg,581.0,Ocean Beach,Entire home/apt,6,3.0,2.0,0.9353156626506025,83.0
887630318678883636,The Leo - Deluxe 3 Bedroom Stay,https://www.airbnb.com/rooms/887630318678883636,https://a0.muscache.com/pictures/prohost-api/Hosting-887630318678883636/original/a497c4dc-077f-481d-828e-47639693ca6c.jpeg,212.0,East Village,Entire home/apt,6,3.0,2.0,0.6726712962962963,108.0
